id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6398367,Welcome to my nest,6026159,Heinz,,Margareten,48.186637770134894,16.354311465187006,Entire home/apt,39,5,12,2017-06-10,0.47,1,356
17975673,Central room in Vienna,123459683,Dima,,Margareten,48.19129782162423,16.360730063581144,Private room,40,1,28,2017-08-31,5.25,1,157
14813537,Nice Family/Group Apt. 118,5857639,Axl,,Margareten,48.185359553681025,16.349870513440038,Entire home/apt,49,4,1,2016-10-02,0.09,14,135
17551025,Charming apartment in Vienna's Heart 2,50653737,Hermann,,Margareten,48.190959701613515,16.354906627097797,Entire home/apt,59,1,6,2017-08-27,2.65,6,100
20516527,Welcome to Vienna - Bright City Apartment,146475194,Robert,,Margareten,48.18895944329808,16.358707620554092,Entire home/apt,43,2,0,,,1,54
6786736,Cosy room 20 min from Citycenter,8690837,Ivan,,Margareten,48.18307564717565,16.351086227242167,Private room,35,3,0,,,1,0
38756,"Apartment with great City View, 5th",166239,Herbert,,Margareten,48.18776487193679,16.3606658099265,Entire home/apt,65,4,132,2017-08-25,1.56,2,333
2215053,Unbeatable!6 bedrooms & 6 bathrooms,3271920,Maria,,Margareten,48.19338879064612,16.360474963501236,Entire home/apt,335,3,28,2017-08-06,0.67,10,353
7400695,Private Room in Design Atelier,11205505,Catherine,,Margareten,48.191325115949695,16.360895615297594,Private room,43,1,28,2017-09-11,1.13,3,38
609308,Heart of Vienna - view and balcony,3020829,Andreas,,Margareten,48.18652819150879,16.34614145740088,Entire home/apt,72,2,31,2017-01-01,0.51,1,365
13029229,One room with two bed and one couch,66576830,Yusuf,,Margareten,48.18600820111815,16.360632580069513,Private room,26,2,42,2017-08-28,2.64,1,2
15508151,Beautiful and quiet family apartment,99628695,Zlata,,Margareten,48.18669420429357,16.365266140150883,Entire home/apt,59,1,45,2017-09-02,4.25,2,282
11785939,Cozy Private Room - Good Location!,59967360,Jean,,Margareten,48.18831180942003,16.347377947708136,Private room,35,2,141,2017-09-11,7.80,6,58
6904202,Kleines feines Zimmer im 5.Bezirk,36183436,Daniel,,Margareten,48.187058745297136,16.35682077688518,Private room,23,5,1,2015-08-31,0.04,1,0
4232567,Appartement im Stadthaus WIM ,21975201,Werner,,Margareten,48.182849518640815,16.360448342304334,Entire home/apt,39,3,118,2017-09-10,3.37,1,289
12568722,Zentrales Zimmer in Wien,56946447,Carmen,,Margareten,48.18589678237429,16.344863525854215,Private room,44,1,0,,,1,364
7800961,"QUIET, BRIGHT 25 m² ROOM, 20 min to Vienna center",35758767,Robbi,,Margareten,48.18410924321869,16.349908193279486,Private room,24,2,22,2017-08-26,0.92,1,43
6178943,"",32051578,Georgine,,Margareten,48.1861363433518,16.358887428493386,Entire home/apt,99,1,0,,,1,0
8493973,Bright & central room in Vienna,3170751,Marie,,Margareten,48.185506024132984,16.36326182112725,Private room,22,2,3,2016-08-14,0.13,1,0
11649377,lovley small flat vienna center 2,43187951,Philip,,Margareten,48.18337049848662,16.359366046299947,Entire home/apt,34,1,40,2017-01-03,2.17,5,233
19286093,Heimelige Wohnung,27761477,Martin,,Margareten,48.18805024373121,16.355616639126197,Entire home/apt,40,3,9,2017-09-03,4.09,1,0
1116219,Vienna  Queens comfort Apartment ,5903756,Dr. Regina,,Margareten,48.190757166843184,16.353971472754363,Entire home/apt,77,3,7,2016-07-11,0.14,10,365
19915206,Business Class Apartment,11169555,Walter,,Margareten,48.18313072864735,16.360758116915235,Entire home/apt,69,2,1,2017-08-05,0.71,1,337
12635237,"""Margarita Oasis"" Roof Loft",3564972,Andrei,,Margareten,48.19191426162357,16.357071522688837,Entire home/apt,59,2,98,2017-08-30,5.92,6,63
16436327,DMG Apartments Hotel Single Room 501,107743301,DMG Apartments,,Margareten,48.18342738973322,16.356411727719916,Entire home/apt,50,1,3,2017-08-20,1.13,14,138
14174796,Executive Suite Margareten Top 16,8632750,Andreas,,Margareten,48.1900981434489,16.353667381097306,Entire home/apt,240,1,8,2017-08-11,0.66,34,187
10443592,23qm beautiful room in vienna,9767978,Tanja,,Margareten,48.18095455243812,16.357282563692184,Private room,20,2,0,,,2,0
19929924,"Modern, bright Apartment near Naschmarkt & Centre",50945012,Elias,,Margareten,48.1929303982649,16.35575898807648,Entire home/apt,86,1,12,2017-09-06,8.78,4,345
1067546,Bright family / group apt. 1214,5857639,Axl,,Margareten,48.1874719733118,16.347094856503492,Entire home/apt,49,4,8,2017-08-12,0.18,14,120
17577645,Cozy city appartment,112523996,David,,Margareten,48.18491953605566,16.35124819346213,Entire home/apt,40,2,3,2017-04-30,0.58,1,0
15534569,"Gorgeous apartment with balcony, perfectly located",1670334,Florian,,Margareten,48.190585679599494,16.354935986543808,Entire home/apt,39,3,72,2017-09-08,6.59,1,79
16435707,DMG Apartments Hotel Room Standard Double Bed 407,107743301,DMG Apartments,,Margareten,48.18263260745388,16.357373367638193,Entire home/apt,65,1,1,2017-08-20,1,14,149
11684344,Business Suite Hauptbahnhof Top 5,8632750,Andreas,,Margareten,48.186568372326725,16.36315196154522,Entire home/apt,80,1,1,2017-07-02,0.39,34,348
16140791,Cozy and central room in Vienna,105314625,Esra,,Margareten,48.19263778090051,16.358773570584724,Private room,35,3,3,2017-07-02,0.63,1,264
11733454,Schönes WG Zimmer Altbau 5. Bezirk,30396441,Max,,Margareten,48.19181775205929,16.35616696805655,Private room,30,1,1,2016-03-22,0.06,1,0
428016,"Cosy Apt, Near Belvedere, Apt #10",1814038,Alan,,Margareten,48.185429965112256,16.363580801404126,Entire home/apt,75,3,11,2017-08-15,0.17,14,330
19105771,Soho Vienna Apartment included Parking space,103131392,Apram,,Margareten,48.18578521923918,16.351725927321315,Entire home/apt,70,2,12,2017-09-06,8.18,4,256
2624503,Spacious Apartment - roof-top patio,1446342,Schoen Apartments,,Margareten,48.18986311091359,16.35985767241947,Entire home/apt,129,3,117,2017-09-08,2.84,24,277
15976377,Hippie vintage appartament in vienna,92581210,Patrizia,,Margareten,48.183468620252334,16.35573160348357,Shared room,35,3,0,,,1,358
16435010,DMG Apartments Hotel Comfort Double Room 405,107743301,DMG Apartments,,Margareten,48.181846138326,16.357414327037404,Entire home/apt,130,1,1,2017-03-10,0.16,14,163
427812,"Apartment Near Center & Belvedere, Apt #9",1814038,Alan,,Margareten,48.186658191712695,16.363725873009685,Entire home/apt,50,3,18,2017-08-30,0.28,14,342
18482976,Cosy quiet appartment in ideal location,128221597,Stefan,,Margareten,48.18848388958413,16.351611411624784,Entire home/apt,48,3,15,2017-08-17,3.98,1,0
20793118,Cosy new apartment near city center,92419176,Sylvester,,Margareten,48.18748886022971,16.352489587254542,Entire home/apt,40,1,0,,,1,129
1115905,XXXLarge Queens Deluxe Apartment A8,5903756,Dr. Regina,,Margareten,48.18989623100818,16.353928827149993,Entire home/apt,120,3,46,2017-09-03,0.97,10,353
427774,"Comfy Apt Near Center, Apt #17a",1814038,Alan,,Margareten,48.18432259740126,16.365278011486836,Entire home/apt,75,3,6,2013-10-02,0.09,14,352
15737125,Quiet Studio right at the center of Vienna,518644,Michael,,Margareten,48.19486704669539,16.359405608020566,Entire home/apt,55,1,5,2017-08-26,0.63,33,74
4722719,Ruhiges Business Apartment mit Garage,4615178,Eva,,Margareten,48.18680012993823,16.354184939959026,Entire home/apt,70,6,0,,,4,0
19826374,Gorgeous apartment right in the center of Vienna,135722972,Mehmet,,Margareten,48.18687869335494,16.362560110940574,Entire home/apt,42,1,15,2017-09-08,8.49,1,300
6917817,Comfortable room close to HBF,20214667,Hristo,,Margareten,48.18393173304207,16.36697554914853,Private room,30,3,23,2016-08-04,0.86,2,0
18516682,Cozy bright studio apartment near city center,128527984,Patrick,,Margareten,48.18712417033474,16.35113106617229,Entire home/apt,69,1,30,2017-09-13,6.82,1,122
16747186,Gemütliche  Wohnung im Zentrum von Wien.,7441346,Johanna,,Margareten,48.18552260397733,16.366309127573405,Entire home/apt,53,2,1,2017-07-29,0.61,1,232
1067696,Bright family / group Apt. 1936,5857639,Axl,,Margareten,48.18557880801428,16.34619671679293,Entire home/apt,49,4,10,2017-01-03,0.22,14,120
18204324,Artistic URBAN apt next to Citycenter,7746981,Stephan,,Margareten,48.195279496838204,16.360269953386076,Entire home/apt,72,1,20,2017-09-03,4.20,1,7
4320195,Vienna City Loft Apartment,22429477,Stephanie,,Margareten,48.19353398027455,16.354426856947427,Entire home/apt,55,7,0,,,1,0
17712766,Apartment with Pool and Sauna,7817461,Tabs,,Margareten,48.18913730067008,16.348649901839558,Shared room,79,2,0,,,1,365
2147859,loft bed in the center of Vienna,10229360,Florian,,Margareten,48.1814856063192,16.360705305753022,Private room,23,2,0,,,2,0
2196933,Design Apartment Double Room,11205505,Catherine,,Margareten,48.19181718160581,16.36010223502805,Private room,27,1,98,2017-09-07,3.63,3,44
2147740,cosy room in the center of Vienna,10229360,Florian,,Margareten,48.183104435451455,16.36231070116482,Private room,23,1,2,2015-07-28,0.05,2,0
3580751,Discover Vienna - central & budget!,3271920,Maria,,Margareten,48.19527224253198,16.358753181638097,Private room,39,2,81,2017-08-27,2.19,10,304
7538565,Cozy and Sunny flat,9261191,Jan,,Margareten,48.183624036979744,16.352253104935887,Entire home/apt,60,4,0,,,1,0
13043015,"Strategico, ottimo per coppie",68334072,Sherlin,,Margareten,48.18208557829367,16.351092027434742,Entire home/apt,42,1,4,2017-06-14,0.28,1,238
17484681,Studio Margareten,15934861,Reinhard,,Margareten,48.187455718142466,16.3560550512219,Entire home/apt,60,3,1,2017-05-08,0.22,1,143
15713572,Big room in a modern flat near the city centre,101492116,Paulina,,Margareten,48.186099637714705,16.345957348708396,Private room,49,2,42,2017-09-12,3.93,1,81
20858156,Modern apartment near the centre,95256644,Walter,,Margareten,48.183616495022484,16.361047447046744,Entire home/apt,35,1,0,,,3,171
20432146,Cozy family-friendly appartment,48172371,Jana,,Margareten,48.185615872993985,16.35276163681663,Entire home/apt,43,2,2,2017-09-11,2,1,121
