id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7123583,Central and frendly flat,37314365,Nehir,Tempelhof - Schöneberg,Schöneberg-Nord,52.491646607488,13.347244982899841,Entire home/apt,56,5,5,2016-04-27,0.39,1,0
14071183,Beautiful apartment in the city,39068874,Wil,Tempelhof - Schöneberg,Schöneberg-Nord,52.496239854542694,13.362737580167572,Private room,40,2,1,2016-09-11,0.14,1,0
10111077,Nice apart. 5 minutes from KADEWE,17765075,Kristina,Tempelhof - Schöneberg,Schöneberg-Nord,52.4980755574054,13.340154823356736,Entire home/apt,80,1,0,,,1,0
6599218,central TOP-floor NEW + privat bath,23137360,Jan,Tempelhof - Schöneberg,Schöneberg-Nord,52.49824702535637,13.362628492047184,Private room,38,1,143,2017-04-01,6.37,3,304
8827446,Ruhige Wohnung in zentrale Lage,46236077,Anasthasia,Tempelhof - Schöneberg,Schöneberg-Nord,52.49017054489985,13.361611376187946,Entire home/apt,50,2,9,2017-01-08,0.80,1,23
6009362,Family getaway in Schöneberg,1498008,Rachel,Tempelhof - Schöneberg,Schöneberg-Nord,52.498758258155576,13.347242133848592,Entire home/apt,60,14,5,2015-07-31,0.22,1,28
17936179,Wohnung mitten in Berlin Schöneberg,122983892,Fatima,Tempelhof - Schöneberg,Schöneberg-Nord,52.493365511198604,13.360149139329067,Entire home/apt,75,1,0,,,1,180
8024640,"Brand new Apartment, large balcony",1402040,Volker,Tempelhof - Schöneberg,Schöneberg-Nord,52.49298974625289,13.349552076609644,Entire home/apt,62,30,5,2017-03-19,0.42,1,251
10793411,Beautiful apartment in Schöneberg,51246443,Anne,Tempelhof - Schöneberg,Schöneberg-Nord,52.49335099317006,13.353166271349808,Entire home/apt,60,14,0,,,1,0
700806,"Room in a charming apartment,Berlin",3595382,Vincent,Tempelhof - Schöneberg,Schöneberg-Nord,52.49167753125974,13.368971456513131,Private room,40,2,116,2017-02-26,2.13,1,7
